timestamp,BTCUSDT_USDT-250926_open,BTCUSDT_USDT-250926_high,BTCUSDT_USDT-250926_low,BTCUSDT_USDT-250926_close,BTCUSDT_USDT-250926_volume,ETHUSDT_USDT-250926_open,ETHUSDT_USDT-250926_high,ETHUSDT_USDT-250926_low,ETHUSDT_USDT-250926_close,ETHUSDT_USDT-250926_volume,BTCUSDT_USDT-251226_open,BTCUSDT_USDT-251226_high,BTCUSDT_USDT-251226_low,BTCUSDT_USDT-251226_close,BTCUSDT_USDT-251226_volume,ETHUSDT_USDT-251226_open,ETHUSDT_USDT-251226_high,ETHUSDT_USDT-251226_low,ETHUSDT_USDT-251226_close,ETHUSDT_USDT-251226_volume
2025-06-09 16:00:00,109620.2,110138.7,109620.2,109659.2,8.44,2575.89,2615.6,2575.71,2600.39,357.924,,,,,,,,,,
2025-06-09 17:00:00,109658.3,110374.8,109642.6,110256.9,6.301,2600.52,2621.19,2598.18,2614.43,210.578,,,,,,,,,,
2025-06-09 18:00:00,110272.2,110490.5,110232.3,110391.9,4.698,2614.69,2630.22,2610.92,2627.17,177.185,,,,,,,,,,
2025-06-09 19:00:00,110386.2,110691.1,110283.6,110511.6,8.884,2626.78,2632.73,2615.8,2622.75,100.756,,,,,,,,,,
2025-06-09 20:00:00,110515.7,110778.4,110380.6,110733.9,22.555,2623.01,2636.52,2618.33,2632.24,110.173,,,,,,,,,,
2025-06-09 21:00:00,110722.5,112619.3,110722.5,111928.4,25.132,2632.2,2693.11,2632.13,2686.74,410.78,,,,,,,,,,
2025-06-09 22:00:00,111934.2,112421.7,111706.6,112212.6,6.039,2686.74,2713.47,2685.06,2709.91,244.353,,,,,,,,,,
2025-06-09 23:00:00,112220.4,112351.8,111911.0,112310.1,4.05,2709.9,2738.99,2701.16,2724.82,258.318,,,,,,,,,,
2025-06-10 00:00:00,112310.2,112343.9,111951.7,111968.0,9.975,2724.6,2773.18,2721.94,2743.76,387.256,,,,,,,,,,
2025-06-10 01:00:00,111968.0,111986.3,111674.4,111806.6,2.451,2743.75,2760.14,2741.76,2752.4,105.182,,,,,,,,,,
2025-06-10 02:00:00,111800.8,111800.8,111417.9,111650.1,3.685,2752.12,2753.38,2720.75,2736.16,185.125,,,,,,,,,,
2025-06-10 03:00:00,111650.1,111680.8,111391.9,111585.6,3.43,2736.44,2737.7,2719.36,2732.93,193.959,,,,,,,,,,
2025-06-10 04:00:00,111591.2,111658.4,111406.4,111538.1,1.913,2732.94,2736.69,2730.0,2734.6,58.309,,,,,,,,,,
2025-06-10 05:00:00,111550.8,111764.8,111222.0,111344.8,3.58,2733.78,2745.0,2709.12,2714.46,157.454,,,,,,,,,,
2025-06-10 06:00:00,111344.9,111652.0,111164.3,111524.0,11.909,2714.32,2724.76,2700.16,2719.85,188.566,,,,,,,,,,
2025-06-10 07:00:00,111518.4,111518.4,111111.0,111249.7,4.127,2719.64,2729.33,2709.57,2722.07,266.062,,,,,,,,,,
